name,address,type
th095::ReplayManager::LoadReplay,0x00435130,function
th095::ReplayManager::WriteReplay,0x00434A90,function
th095::ResultScreen::LoadReplays,0x0042A710,function
th095::ResultScreenReplayCursor::Move,0x0041B760,function
th095::ResultScreen::UpdateCursor,0x00429AB0,function
th095::ResultScreenReplayCursor::Push,0x0041B660,function
th095::ResultScreenReplayCursor::Pop,0x0041B6E0,function
th095::ResultScreenTimer::Tick,0x0041B8A0,function
th095::ResultScreen::Update,0x00426BF0,function
th095::InitializeGameResultScreen,0x00428590,function
th095::InitializeReplayResultScreen,0x004288B0,function
th095::InitializePhotoResultScreen,0x00428E90,function
th095::ResultScreen::OnUpdate,0x0042A6B0,function
th095::ResultPhotoDataView::FindBestShot,0x00429450,function
th095::AnmVmId::GetVm,0x004452F0,function
th095::AnmVmId::SetInterrupt,0x00445330,function
th095::ResultScreen::OnDraw,0x0042A6E0,function
th095::ResultScreen::PrepareBestShot,0x004292D0,function
th095::UpdatePhotoResultScreen,0x004294C0,function
th095::ResultSaveDataView::UpdateBestShotRecord,0x004299F0,function
th095::ResultScreen::Draw,0x00429C80,function
th095::AnmManager::GetVm,0x00445110,function
th095::AnmManager::SetInterrupt,0x00445170,function
th095::AnmManager::MarkVmForDeletion,0x004451B0,function
th095::AnmManager::SetPosition,0x004451F0,function
th095::AnmManager::GetPosition,0x00445230,function
th095::AnmManager::MarkVmsForDeletion,0x00445270,function
th095::AnmVmId::SetSprite,0x00445360,function
th095::SceneSaveDataView::IsSceneGroupUnlocked,0x004364F0,function
th095::SceneSaveDataView::FindHighestUnlockedSceneGroup,0x004365B0,function
th095::SceneSaveDataView::CountCapturedScenes,0x004365F0,function
th095::SceneSaveDataView::CountCapturedScenesInGroup,0x00436680,function
th095::SceneSaveDataView::GetSceneGroupUnlockScore,0x004366F0,function
th095::AnmVmColorInterpolationView::SetColor1Interpolation,0x00452D70,function
th095::SceneSelectControllerView::RefreshSceneSelection,0x0044BBD0,function
th095::SceneValueQueue::Push,0x00450DD0,function
th095::SceneSelectControllerView::BuildScenePreviewText,0x0044BEA0,function
th095::SceneSelectControllerView::ResolveSceneText,0x0044D020,function
th095::AnmTextManagerView::DrawTextInner,0x00443C70,function
th095::AnmTextManagerView::DrawTextLeft,0x00443CE0,function
th095::AnmTextManagerView::DrawTextRight,0x00443DD0,function
th095::AnmTextManagerView::DrawTextCentered,0x00443F80,function
th095::TextHelperView::RenderTextToTextureBold,0x0041C8F0,function
th095::TextRenderBufferView::ApplyAlphaBleed,0x0041C1E0,function
th095::TextRenderBufferView::InvertAlpha,0x0041C600,function
th095::SceneSelectControllerView::UpdateSelectedSceneDetails,0x0044C670,function
th095::SceneSelectControllerView::SetDetailDigitSprite,0x0044CF60,function
th095::SceneSelectControllerView::ShowDetailDigit,0x0044CFA0,function
th095::SceneSelectControllerView::HideDetailDigit,0x0044CFE0,function
