address,origin,subsystem,disposition,confidence,evidence_id
0x00408610,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00408670,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00408760,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004087D0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00408850,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00408990,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004089F0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00408C50,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00408C60,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00408CB0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00408CE0,authored,EclManager,authored,exact,vc71-photo-enemy-ecl-load-2026-08-30
0x00408DE0,authored,EclManager,authored,exact,vc71-photo-enemy-ecl-context-2026-08-30
0x00408E70,authored,EclManager,authored,high,target-architecture-2026-08-29
0x0040FAE0,authored,EclOperands,authored,exact,vc71-ecl-resolve-int-2026-08-30
0x00410300,authored,EclOperands,authored,exact,vc71-ecl-resolve-int-lvalue-2026-08-30
0x004105A0,authored,EclOperands,authored,exact,vc71-ecl-resolve-float-2026-08-30
0x00410DB0,authored,EclOperands,authored,exact,vc71-ecl-resolve-float-lvalue-2026-08-30
0x00411150,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00411390,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004115A0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00411600,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00411700,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004117F0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00411A00,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00411F70,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00412060,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00412180,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00412190,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00412200,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00412490,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00412670,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00412970,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00413030,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00413380,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00413410,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004134A0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00413620,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00413750,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00413990,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00413AA0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00413B90,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00413CF0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00413DA0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00413DF0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00413F90,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00413FC0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00414020,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00414090,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00414230,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00414260,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00414290,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00414430,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004144E0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00414580,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00414930,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004149F0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00414B30,authored,EnemyManager,authored,exact,vc71-photo-enemy-destroy-2026-08-30
0x00414B90,authored,EnemyManager,authored,high,photo-enemy-construction-2026-08-30
0x00415040,authored,EnemyManager,authored,exact,vc71-photo-enemy-construction-2026-08-30
0x004152D0,authored,EnemyManager,authored,exact,vc71-photo-enemy-view-destructor-2026-08-30
0x00415310,authored,EnemyManager,authored,exact,vc71-photo-enemy-construction-2026-08-30
